replay_file,timestamp_s,map_name,duration_s,label,p1_player_id,p1_race,p1_minerals,p1_vespene,p1_minerals_spent,p1_vespene_spent,p1_supply_used,p1_supply_cap,p1_workers_count,p1_army_count,p1_unit_types_count,p1_buildings_count,p1_units_lost,p1_supply_ratio,p1_eco_ratio,p1_army_ratio,p2_player_id,p2_race,p2_minerals,p2_vespene,p2_minerals_spent,p2_vespene_spent,p2_supply_used,p2_supply_cap,p2_workers_count,p2_army_count,p2_unit_types_count,p2_buildings_count,p2_units_lost,p2_supply_ratio,p2_eco_ratio,p2_army_ratio,delta_minerals,delta_vespene,delta_workers,delta_army,delta_supply
#1 ZvZ 15 Hatch Safest Macro 2 Base Roach Opener for M3 and below(Highly recommended).SC2Replay,300,Taito Citadel LE,488,2,1,Zerg,113,173,1225,175,80.0,84.0,56,35,21,1,62,0.9523809523809523,0.7,0.4375,2,Zerg,1885,1116,325,0,25.0,38.0,34,26,21,1,22,0.6578947368421053,1.36,1.04,-1772,-943,22,9,0.294486215538847
#6 ZvT 16 Hatch Macro Ling Bane 8 Queens Style (for M3 and Lower).SC2Replay,300,Ruby Rock LE,532,2,1,Zerg,194,102,1575,0,82.0,82.0,69,44,21,1,67,1.0,0.8414634146341463,0.5365853658536586,2,Terran,2630,1150,200,25,24.0,31.0,21,18,20,1,2,0.7741935483870968,0.875,0.75,-2436,-1048,48,26,0.22580645161290325
#8 ZvT 15 Hatch Roach Ravager 8mins Max out Timing Attack.SC2Replay,300,Winter Madness LE,506,1,1,Zerg,293,231,900,125,80.0,98.0,70,33,21,1,77,0.8163265306122449,0.875,0.4125,2,Terran,2680,1196,150,0,23.0,31.0,21,18,19,1,1,0.7419354838709677,0.9130434782608695,0.782608695652174,-2387,-965,49,15,0.07439104674127717
10000 Feet LE (2).SC2Replay,300,10000 Feet LE,422,1,1,Zerg,49,43,750,0,71.0,82.0,59,29,21,1,60,0.8658536585365854,0.8309859154929577,0.4084507042253521,2,Terran,1020,781,250,100,44.0,54.0,36,20,20,1,2,0.8148148148148148,0.8181818181818182,0.45454545454545453,-971,-738,23,9,0.05103884372177059
Alex v Sindyr - Torches LE.SC2Replay,300,Torches LE,757,1,1,Zerg,725,214,725,0,45.0,60.0,47,32,21,1,44,0.75,1.0444444444444445,0.7111111111111111,2,Terran,87,164,450,250,48.0,77.0,37,20,20,1,1,0.6233766233766234,0.7708333333333334,0.4166666666666667,638,50,10,12,0.12662337662337664
Alex v Sindyr - Torches LE.SC2Replay,600,Torches LE,757,1,1,Zerg,5375,1261,2375,600,111.0,184.0,118,58,22,1,140,0.6032608695652174,1.063063063063063,0.5225225225225225,2,Terran,2490,1921,1550,500,118.0,132.0,82,38,19,1,9,0.8939393939393939,0.6949152542372882,0.3220338983050847,2885,-660,36,20,-0.2906785243741765
Goldenaura LE (2).SC2Replay,300,Goldenaura LE,504,1,1,Zerg,775,344,750,0,65.0,74.0,62,37,21,1,64,0.8783783783783784,0.9538461538461539,0.5692307692307692,2,Protoss,2415,1084,125,50,22.0,31.0,20,16,18,1,0,0.7096774193548387,0.9090909090909091,0.7272727272727273,-1640,-740,42,21,0.16870095902353965
Hellbat Rush.SC2Replay,300,10000 Feet LE,452,2,1,Terran,465,468,850,125,45.0,55.0,30,24,21,1,1,0.8181818181818182,0.6666666666666666,0.5333333333333333,2,Zerg,1805,1103,400,25,27.0,38.0,33,27,22,1,23,0.7105263157894737,1.2222222222222223,1.0,-1340,-635,-3,-3,0.10765550239234456
Kronos v SCIInewby - Ruby Rock LE.SC2Replay,300,Ruby Rock LE,598,2,1,Zerg,114,480,450,0,37.0,60.0,47,27,21,1,47,0.6166666666666667,1.2702702702702702,0.7297297297297297,2,Protoss,125,170,200,0,36.0,46.0,31,17,18,1,0,0.782608695652174,0.8611111111111112,0.4722222222222222,-11,310,16,10,-0.16594202898550725
llllllllllll.SC2Replay,300,Ruby Rock LE,465,1,1,Protoss,150,498,700,0,58.0,70.0,38,19,18,1,0,0.8285714285714286,0.6551724137931034,0.3275862068965517,2,Zerg,475,316,875,0,62.0,66.0,63,26,20,1,67,0.9393939393939394,1.0161290322580645,0.41935483870967744,-325,182,-25,-7,-0.11082251082251082
